path,image,tag,digest,eol_risk,source,ref_type,raw_ref
examples/current/apps/demo-web.yml,{{ DEMO_WEB_IMAGE }},,,unknown,examples/current,image,{{ DEMO_WEB_IMAGE }}
examples/current/apps/nginx/deployment.yml,nginx,1.27.5,sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,low,examples/current,image,nginx:1.27.5@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d
examples/current/observability/alertmanager-storage-skeleton.yml,{{ ALERTMANAGER_IMAGE }},,,unknown,examples/current,image,{{ ALERTMANAGER_IMAGE }}
examples/current/observability/grafana-skeleton.yml,{{ GRAFANA_IMAGE }},,,unknown,examples/current,image,{{ GRAFANA_IMAGE }}
examples/current/observability/logging/fluent-bit-daemonset.yml,{{ FLUENT_BIT_IMAGE }},,,unknown,examples/current,image,{{ FLUENT_BIT_IMAGE }}
examples/current/observability/metrics-server-skeleton.yml,{{ METRICS_SERVER_IMAGE }},,,unknown,examples/current,image,{{ METRICS_SERVER_IMAGE }}
examples/current/observability/prometheus-skeleton.yml,{{ PROMETHEUS_IMAGE }},,,unknown,examples/current,image,{{ PROMETHEUS_IMAGE }}
k8s/ExtraAddons/external-dns/coredns/coredns-dp.yml,coredns/coredns,1.1.4,unknown,high,k8s,image,coredns/coredns:1.1.4
k8s/ExtraAddons/external-dns/coredns/etcd-dp.yml,quay.io/coreos/etcd,v3.1.9,unknown,high,k8s,image,quay.io/coreos/etcd:v3.1.9
k8s/ExtraAddons/external-dns/external-dns/external-dns.yml,registry.opensource.zalan.do/teapot/external-dns,v0.5.4,unknown,high,k8s,image,registry.opensource.zalan.do/teapot/external-dns:v0.5.4
k8s/ExtraAddons/ingress-controller/ingress-controller.yml,quay.io/kubernetes-ingress-controller/nginx-ingress-controller,0.17.0,unknown,high,k8s,image,quay.io/kubernetes-ingress-controller/nginx-ingress-controller:0.17.0
k8s/ExtraAddons/ingress-controller/ingress-controller.yml,registry.cn-hangzhou.aliyuncs.com/google_containers/defaultbackend,1.4,unknown,medium,k8s,image,registry.cn-hangzhou.aliyuncs.com/google_containers/defaultbackend:1.4
k8s/ExtraAddons/prometheus/alertmanager/alertmanager-main.yml,quay.io/prometheus/alertmanager,v0.15.0,unknown,medium,operator-baseimage,operator-baseimage,quay.io/prometheus/alertmanager:v0.15.0
k8s/ExtraAddons/prometheus/grafana/grafana-dp.yml,grafana/grafana,5.1.0,unknown,high,k8s,image,grafana/grafana:5.1.0
k8s/ExtraAddons/prometheus/kube-state-metrics/kube-state-metrics-dp.yml,quay.io/coreos/addon-resizer,1.0,unknown,high,k8s,image,quay.io/coreos/addon-resizer:1.0
k8s/ExtraAddons/prometheus/kube-state-metrics/kube-state-metrics-dp.yml,quay.io/coreos/kube-rbac-proxy,v0.3.1,unknown,high,k8s,image,quay.io/coreos/kube-rbac-proxy:v0.3.1
